label,configuration,variant,rank_within_variant,country_national_mean,profile_correlation,interpretation_limit
DeepSeek Reasoner,deepseek-reasoner | thinking,lente_B,1,Ireland,0.958108,Similarity to a national mean is not evidence of individual or subgroup representation.
DeepSeek Reasoner,deepseek-reasoner | thinking,lente_B,2,Belgium,0.942886,Similarity to a national mean is not evidence of individual or subgroup representation.
DeepSeek Reasoner,deepseek-reasoner | thinking,lente_B,3,Switzerland,0.938624,Similarity to a national mean is not evidence of individual or subgroup representation.
DeepSeek Reasoner,deepseek-reasoner | thinking,lente_C,1,Ireland,0.755794,Similarity to a national mean is not evidence of individual or subgroup representation.
DeepSeek Reasoner,deepseek-reasoner | thinking,lente_C,2,Switzerland,0.732242,Similarity to a national mean is not evidence of individual or subgroup representation.
DeepSeek Reasoner,deepseek-reasoner | thinking,lente_C,3,Belgium,0.624063,Similarity to a national mean is not evidence of individual or subgroup representation.
GLM 5.2 — xhigh,glm-5.2 | reasoning=xhigh,lente_A,1,Switzerland,0.96975,Similarity to a national mean is not evidence of individual or subgroup representation.
GLM 5.2 — xhigh,glm-5.2 | reasoning=xhigh,lente_A,2,Ireland,0.966515,Similarity to a national mean is not evidence of individual or subgroup representation.
GLM 5.2 — xhigh,glm-5.2 | reasoning=xhigh,lente_A,3,Belgium,0.921868,Similarity to a national mean is not evidence of individual or subgroup representation.
GLM 5.2 — xhigh,glm-5.2 | reasoning=xhigh,canonica,1,Ireland,0.849866,Similarity to a national mean is not evidence of individual or subgroup representation.
GLM 5.2 — xhigh,glm-5.2 | reasoning=xhigh,canonica,2,Switzerland,0.838492,Similarity to a national mean is not evidence of individual or subgroup representation.
GLM 5.2 — xhigh,glm-5.2 | reasoning=xhigh,canonica,3,Belgium,0.720796,Similarity to a national mean is not evidence of individual or subgroup representation.
GLM 5.2 — xhigh,glm-5.2 | reasoning=xhigh,lente_B,1,Ireland,0.950388,Similarity to a national mean is not evidence of individual or subgroup representation.
GLM 5.2 — xhigh,glm-5.2 | reasoning=xhigh,lente_B,2,Switzerland,0.942263,Similarity to a national mean is not evidence of individual or subgroup representation.
GLM 5.2 — xhigh,glm-5.2 | reasoning=xhigh,lente_B,3,New Zealand,0.894919,Similarity to a national mean is not evidence of individual or subgroup representation.
GLM 5.2 — xhigh,glm-5.2 | reasoning=xhigh,lente_C,1,Ireland,0.834061,Similarity to a national mean is not evidence of individual or subgroup representation.
GLM 5.2 — xhigh,glm-5.2 | reasoning=xhigh,lente_C,2,Switzerland,0.820464,Similarity to a national mean is not evidence of individual or subgroup representation.
GLM 5.2 — xhigh,glm-5.2 | reasoning=xhigh,lente_C,3,Belgium,0.698765,Similarity to a national mean is not evidence of individual or subgroup representation.
Fable 5 — adaptive,claude-fable-5 | reasoning=adaptive,lente_A,1,New Zealand,0.967326,Similarity to a national mean is not evidence of individual or subgroup representation.
Fable 5 — adaptive,claude-fable-5 | reasoning=adaptive,lente_A,2,Ireland,0.965539,Similarity to a national mean is not evidence of individual or subgroup representation.
Fable 5 — adaptive,claude-fable-5 | reasoning=adaptive,lente_A,3,Switzerland,0.953397,Similarity to a national mean is not evidence of individual or subgroup representation.
Fable 5 — adaptive,claude-fable-5 | reasoning=adaptive,canonica,1,Switzerland,0.966457,Similarity to a national mean is not evidence of individual or subgroup representation.
Fable 5 — adaptive,claude-fable-5 | reasoning=adaptive,canonica,2,Ireland,0.95164,Similarity to a national mean is not evidence of individual or subgroup representation.
Fable 5 — adaptive,claude-fable-5 | reasoning=adaptive,canonica,3,Belgium,0.898333,Similarity to a national mean is not evidence of individual or subgroup representation.
Fable 5 — adaptive,claude-fable-5 | reasoning=adaptive,lente_B,1,New Zealand,0.967234,Similarity to a national mean is not evidence of individual or subgroup representation.
Fable 5 — adaptive,claude-fable-5 | reasoning=adaptive,lente_B,2,Ireland,0.963915,Similarity to a national mean is not evidence of individual or subgroup representation.
Fable 5 — adaptive,claude-fable-5 | reasoning=adaptive,lente_B,3,Switzerland,0.95447,Similarity to a national mean is not evidence of individual or subgroup representation.
Fable 5 — adaptive,claude-fable-5 | reasoning=adaptive,lente_C,1,Switzerland,0.950446,Similarity to a national mean is not evidence of individual or subgroup representation.
Fable 5 — adaptive,claude-fable-5 | reasoning=adaptive,lente_C,2,Ireland,0.945024,Similarity to a national mean is not evidence of individual or subgroup representation.
Fable 5 — adaptive,claude-fable-5 | reasoning=adaptive,lente_C,3,Belgium,0.868556,Similarity to a national mean is not evidence of individual or subgroup representation.
