label,configuration,foundation,reported_national_mean_z_min,reported_national_mean_z_max,national_means_in_reference_frame,variants_tested,variants_within,variants_above,variants_below,position_verdict,stable_across_variants,human_reference_level,human_reference_provenance,interpretation_limit
GPT 5.5 — low reasoning,gpt-5.5 | reasoning=low,Authority,-0.222044,0.953176,19,4,2,0,2,variant_dependent,False,national_means_not_individuals,incomplete_in_current_package,Position relative to 19 selected national means; not evidence of individual or subgroup representation.
GPT 5.5 — low reasoning,gpt-5.5 | reasoning=low,Purity,-1.690337,0.022686,19,4,3,0,1,variant_dependent,False,national_means_not_individuals,incomplete_in_current_package,Position relative to 19 selected national means; not evidence of individual or subgroup representation.
GPT 5.5 — high reasoning,gpt-5.5 | reasoning=high,Care,0.440213,1.375266,19,4,0,4,0,above,True,national_means_not_individuals,incomplete_in_current_package,Position relative to 19 selected national means; not evidence of individual or subgroup representation.
GPT 5.5 — high reasoning,gpt-5.5 | reasoning=high,Equality,-2.149232,-0.738593,19,4,2,2,0,variant_dependent,False,national_means_not_individuals,incomplete_in_current_package,Position relative to 19 selected national means; not evidence of individual or subgroup representation.
GPT 5.5 — high reasoning,gpt-5.5 | reasoning=high,Proportionality,0.084441,1.496595,19,4,4,0,0,within,True,national_means_not_individuals,incomplete_in_current_package,Position relative to 19 selected national means; not evidence of individual or subgroup representation.
GPT 5.5 — high reasoning,gpt-5.5 | reasoning=high,Loyalty,-0.257103,0.805364,19,4,1,0,3,variant_dependent,False,national_means_not_individuals,incomplete_in_current_package,Position relative to 19 selected national means; not evidence of individual or subgroup representation.
GPT 5.5 — high reasoning,gpt-5.5 | reasoning=high,Authority,-0.222044,0.953176,19,4,2,0,2,variant_dependent,False,national_means_not_individuals,incomplete_in_current_package,Position relative to 19 selected national means; not evidence of individual or subgroup representation.
GPT 5.5 — high reasoning,gpt-5.5 | reasoning=high,Purity,-1.690337,0.022686,19,4,4,0,0,within,True,national_means_not_individuals,incomplete_in_current_package,Position relative to 19 selected national means; not evidence of individual or subgroup representation.
DeepSeek Reasoner,deepseek-reasoner | thinking,Care,0.440213,1.375266,19,4,2,2,0,variant_dependent,False,national_means_not_individuals,incomplete_in_current_package,Position relative to 19 selected national means; not evidence of individual or subgroup representation.
DeepSeek Reasoner,deepseek-reasoner | thinking,Equality,-2.149232,-0.738593,19,4,1,3,0,variant_dependent,False,national_means_not_individuals,incomplete_in_current_package,Position relative to 19 selected national means; not evidence of individual or subgroup representation.
DeepSeek Reasoner,deepseek-reasoner | thinking,Proportionality,0.084441,1.496595,19,4,4,0,0,within,True,national_means_not_individuals,incomplete_in_current_package,Position relative to 19 selected national means; not evidence of individual or subgroup representation.
DeepSeek Reasoner,deepseek-reasoner | thinking,Loyalty,-0.257103,0.805364,19,4,0,0,4,below,True,national_means_not_individuals,incomplete_in_current_package,Position relative to 19 selected national means; not evidence of individual or subgroup representation.
DeepSeek Reasoner,deepseek-reasoner | thinking,Authority,-0.222044,0.953176,19,4,2,0,2,variant_dependent,False,national_means_not_individuals,incomplete_in_current_package,Position relative to 19 selected national means; not evidence of individual or subgroup representation.
DeepSeek Reasoner,deepseek-reasoner | thinking,Purity,-1.690337,0.022686,19,4,4,0,0,within,True,national_means_not_individuals,incomplete_in_current_package,Position relative to 19 selected national means; not evidence of individual or subgroup representation.
GLM 5.2 — xhigh,glm-5.2 | reasoning=xhigh,Care,0.440213,1.375266,19,4,0,4,0,above,True,national_means_not_individuals,incomplete_in_current_package,Position relative to 19 selected national means; not evidence of individual or subgroup representation.
GLM 5.2 — xhigh,glm-5.2 | reasoning=xhigh,Equality,-2.149232,-0.738593,19,4,0,4,0,above,True,national_means_not_individuals,incomplete_in_current_package,Position relative to 19 selected national means; not evidence of individual or subgroup representation.
GLM 5.2 — xhigh,glm-5.2 | reasoning=xhigh,Proportionality,0.084441,1.496595,19,4,4,0,0,within,True,national_means_not_individuals,incomplete_in_current_package,Position relative to 19 selected national means; not evidence of individual or subgroup representation.
GLM 5.2 — xhigh,glm-5.2 | reasoning=xhigh,Loyalty,-0.257103,0.805364,19,4,1,0,3,variant_dependent,False,national_means_not_individuals,incomplete_in_current_package,Position relative to 19 selected national means; not evidence of individual or subgroup representation.
GLM 5.2 — xhigh,glm-5.2 | reasoning=xhigh,Authority,-0.222044,0.953176,19,4,2,0,2,variant_dependent,False,national_means_not_individuals,incomplete_in_current_package,Position relative to 19 selected national means; not evidence of individual or subgroup representation.
GLM 5.2 — xhigh,glm-5.2 | reasoning=xhigh,Purity,-1.690337,0.022686,19,4,4,0,0,within,True,national_means_not_individuals,incomplete_in_current_package,Position relative to 19 selected national means; not evidence of individual or subgroup representation.
Fable 5 — adaptive,claude-fable-5 | reasoning=adaptive,Care,0.440213,1.375266,19,4,0,4,0,above,True,national_means_not_individuals,incomplete_in_current_package,Position relative to 19 selected national means; not evidence of individual or subgroup representation.
Fable 5 — adaptive,claude-fable-5 | reasoning=adaptive,Equality,-2.149232,-0.738593,19,4,2,2,0,variant_dependent,False,national_means_not_individuals,incomplete_in_current_package,Position relative to 19 selected national means; not evidence of individual or subgroup representation.
Fable 5 — adaptive,claude-fable-5 | reasoning=adaptive,Proportionality,0.084441,1.496595,19,4,4,0,0,within,True,national_means_not_individuals,incomplete_in_current_package,Position relative to 19 selected national means; not evidence of individual or subgroup representation.
Fable 5 — adaptive,claude-fable-5 | reasoning=adaptive,Loyalty,-0.257103,0.805364,19,4,3,0,1,variant_dependent,False,national_means_not_individuals,incomplete_in_current_package,Position relative to 19 selected national means; not evidence of individual or subgroup representation.
Fable 5 — adaptive,claude-fable-5 | reasoning=adaptive,Authority,-0.222044,0.953176,19,4,3,0,1,variant_dependent,False,national_means_not_individuals,incomplete_in_current_package,Position relative to 19 selected national means; not evidence of individual or subgroup representation.
Fable 5 — adaptive,claude-fable-5 | reasoning=adaptive,Purity,-1.690337,0.022686,19,4,4,0,0,within,True,national_means_not_individuals,incomplete_in_current_package,Position relative to 19 selected national means; not evidence of individual or subgroup representation.
