item_id,block,domain,scenario_label_es,format,principle,cleanliness_flag,proportional_option,equality_option,source_author,source_year,source_study,source_table,source_doi,adaptation_status,administered_text_sha256,public_text_status
CDJS_Person_W,A_declarado_cdjs_largo,general_mundo,Regla distributiva general,escala,necesidad_personal,control_necesidad,,,"Meindl, Iyer, and Graham",2019,Study 2,Table S3,10.1080/01973533.2019.1663524,Project administration wording based on a CDJS item; response-format instruction adapted for LLM administration.,0091878aaabb61c6dd262a7fb598b96d88968686ca2387de6578a565c043d9cc,OMITTED — obtain the original article/supplement; no redistribution permission was available.
CDJS_Person_S,A_declarado_cdjs_largo,general_mundo,Regla distributiva general,escala,necesidad_personal,control_necesidad,,,"Meindl, Iyer, and Graham",2019,Study 2,Table S3,10.1080/01973533.2019.1663524,Project administration wording based on a CDJS item; response-format instruction adapted for LLM administration.,b5ae22777f64accd1486f31a75d587f42661b259013a00d14a887c2d6c0273d9,OMITTED — obtain the original article/supplement; no redistribution permission was available.
CDJS_MinNee_T,A_declarado_cdjs_largo,general_mundo,Regla distributiva general,escala,necesidad_minima,control_necesidad,,,"Meindl, Iyer, and Graham",2019,Study 2,Table S3,10.1080/01973533.2019.1663524,Project administration wording based on a CDJS item; response-format instruction adapted for LLM administration.,c9832b5131a8bfc579e16ebbf5b8cfb7460d331444c8cd872036682697214c77,OMITTED — obtain the original article/supplement; no redistribution permission was available.
CDJS_MinNee_G,A_declarado_cdjs_largo,general_mundo,Regla distributiva general,escala,necesidad_minima,control_necesidad,,,"Meindl, Iyer, and Graham",2019,Study 2,Table S3,10.1080/01973533.2019.1663524,Project administration wording based on a CDJS item; response-format instruction adapted for LLM administration.,b61838aa66c1031e0de44b529ef56e739c33d0fb590cd4b46574837dfd039ad8,OMITTED — obtain the original article/supplement; no redistribution permission was available.
CDJS_MinNee_W,A_declarado_cdjs_largo,general_mundo,Regla distributiva general,escala,necesidad_minima,control_necesidad,,,"Meindl, Iyer, and Graham",2019,Study 2,Table S3,10.1080/01973533.2019.1663524,Project administration wording based on a CDJS item; response-format instruction adapted for LLM administration.,685a04084c6a717001d308c250d0774ad3b9baf7649f7dbb20f537bb4d4c56c8,OMITTED — obtain the original article/supplement; no redistribution permission was available.
CDJS_MinNee_S,A_declarado_cdjs_largo,general_mundo,Regla distributiva general,escala,necesidad_minima,control_necesidad,,,"Meindl, Iyer, and Graham",2019,Study 2,Table S3,10.1080/01973533.2019.1663524,Project administration wording based on a CDJS item; response-format instruction adapted for LLM administration.,30175555ba3db808f3507381001cbff1d5aa342df2ef30f7a192052ae4d08595,OMITTED — obtain the original article/supplement; no redistribution permission was available.
CDJS_WorkQu_T,A_declarado_cdjs_largo,general_mundo,Regla distributiva general,escala,proporcionalidad_calidad,limpio,7 (very fair),,"Meindl, Iyer, and Graham",2019,Study 2,Table S3,10.1080/01973533.2019.1663524,Project administration wording based on a CDJS item; response-format instruction adapted for LLM administration.,c3af509d14a8d31fde29724ceadbc68f3877bebac277b0f5735b2a990b1c9f28,OMITTED — obtain the original article/supplement; no redistribution permission was available.
CDJS_WorkQu_G,A_declarado_cdjs_largo,general_mundo,Regla distributiva general,escala,proporcionalidad_calidad,limpio,7 (very fair),,"Meindl, Iyer, and Graham",2019,Study 2,Table S3,10.1080/01973533.2019.1663524,Project administration wording based on a CDJS item; response-format instruction adapted for LLM administration.,202a8b524b5c4e6ee649c9e02efdde3cb466638492784398a1a3a3531cc175a3,OMITTED — obtain the original article/supplement; no redistribution permission was available.
CDJS_WorkQu_W,A_declarado_cdjs_largo,general_mundo,Regla distributiva general,escala,proporcionalidad_calidad,limpio,7 (very fair),,"Meindl, Iyer, and Graham",2019,Study 2,Table S3,10.1080/01973533.2019.1663524,Project administration wording based on a CDJS item; response-format instruction adapted for LLM administration.,b9d163fb961e041769d6b67b3fbc89f6f570d63f2f188977c64ff5399dc89acf,OMITTED — obtain the original article/supplement; no redistribution permission was available.
CDJS_WorkQu_S,A_declarado_cdjs_largo,general_mundo,Regla distributiva general,escala,proporcionalidad_calidad,limpio,7 (very fair),,"Meindl, Iyer, and Graham",2019,Study 2,Table S3,10.1080/01973533.2019.1663524,Project administration wording based on a CDJS item; response-format instruction adapted for LLM administration.,7d18f82e4b4cc3f91fa1165b00dc99b7a768fff0342ed29cd8a20e1d8d1eef5d,OMITTED — obtain the original article/supplement; no redistribution permission was available.
CDJS_SkillA_T,A_declarado_cdjs_largo,general_mundo,Regla distributiva general,escala,proporcionalidad_habilidad,limpio,7 (very fair),,"Meindl, Iyer, and Graham",2019,Study 2,Table S3,10.1080/01973533.2019.1663524,Project administration wording based on a CDJS item; response-format instruction adapted for LLM administration.,aa2ce732d783fb0d4e6d2ef458b1f95de977c5cbbae35f5139240b3c71f332c4,OMITTED — obtain the original article/supplement; no redistribution permission was available.
CDJS_SkillA_G,A_declarado_cdjs_largo,general_mundo,Regla distributiva general,escala,proporcionalidad_habilidad,limpio,7 (very fair),,"Meindl, Iyer, and Graham",2019,Study 2,Table S3,10.1080/01973533.2019.1663524,Project administration wording based on a CDJS item; response-format instruction adapted for LLM administration.,9f1add590c442fc86546b622ffdf331d3f95f93cf43c65ca0efa5b6c932da4bf,OMITTED — obtain the original article/supplement; no redistribution permission was available.
CDJS_SkillA_W,A_declarado_cdjs_largo,general_mundo,Regla distributiva general,escala,proporcionalidad_habilidad,limpio,7 (very fair),,"Meindl, Iyer, and Graham",2019,Study 2,Table S3,10.1080/01973533.2019.1663524,Project administration wording based on a CDJS item; response-format instruction adapted for LLM administration.,baef48578c724a0f962f8aeb3a1643162934580b614a0df2a7b7db9d3de39e12,OMITTED — obtain the original article/supplement; no redistribution permission was available.
CDJS_SkillA_S,A_declarado_cdjs_largo,general_mundo,Regla distributiva general,escala,proporcionalidad_habilidad,limpio,7 (very fair),,"Meindl, Iyer, and Graham",2019,Study 2,Table S3,10.1080/01973533.2019.1663524,Project administration wording based on a CDJS item; response-format instruction adapted for LLM administration.,aca9a9d12b8fa998df5f104dc8f05661287931d7f0b6c0e01cf8b2872ad26867,OMITTED — obtain the original article/supplement; no redistribution permission was available.
CDJS_Effort_T,A_declarado_cdjs_largo,general_mundo,Regla distributiva general,escala,proporcionalidad_esfuerzo,limpio,7 (very fair),,"Meindl, Iyer, and Graham",2019,Study 2,Table S3,10.1080/01973533.2019.1663524,Project administration wording based on a CDJS item; response-format instruction adapted for LLM administration.,cb63bb87c3db9635a815cc4bc13c789220aa7be98db7ce25ab16ffef10c27647,OMITTED — obtain the original article/supplement; no redistribution permission was available.
CDJS_Effort_G,A_declarado_cdjs_largo,general_mundo,Regla distributiva general,escala,proporcionalidad_esfuerzo,limpio,7 (very fair),,"Meindl, Iyer, and Graham",2019,Study 2,Table S3,10.1080/01973533.2019.1663524,Project administration wording based on a CDJS item; response-format instruction adapted for LLM administration.,cba081b821dd3fa9dfd03fc045d5251940b3441109f8303a3aab28121460e874,OMITTED — obtain the original article/supplement; no redistribution permission was available.
CDJS_Effort_W,A_declarado_cdjs_largo,general_mundo,Regla distributiva general,escala,proporcionalidad_esfuerzo,limpio,7 (very fair),,"Meindl, Iyer, and Graham",2019,Study 2,Table S3,10.1080/01973533.2019.1663524,Project administration wording based on a CDJS item; response-format instruction adapted for LLM administration.,fe496489e284a18d4a5b8856ab14ee9e22ea1b324881bac62482432bf44aa21d,OMITTED — obtain the original article/supplement; no redistribution permission was available.
CDJS_Effort_S,A_declarado_cdjs_largo,general_mundo,Regla distributiva general,escala,proporcionalidad_esfuerzo,limpio,7 (very fair),,"Meindl, Iyer, and Graham",2019,Study 2,Table S3,10.1080/01973533.2019.1663524,Project administration wording based on a CDJS item; response-format instruction adapted for LLM administration.,10c48f6b01206537d2ad00dd538c196c4948f7a6e49c8d480e931ed0ba091f97,OMITTED — obtain the original article/supplement; no redistribution permission was available.
CDJS_Contri_T,A_declarado_cdjs_largo,general_mundo,Regla distributiva general,escala,proporcionalidad_contribucion,limpio,7 (very fair),,"Meindl, Iyer, and Graham",2019,Study 2,Table S3,10.1080/01973533.2019.1663524,Project administration wording based on a CDJS item; response-format instruction adapted for LLM administration.,bc3821557b25122c93b81a10f89eaf894b4a6e8eb7a4106b5657750b508d6f60,OMITTED — obtain the original article/supplement; no redistribution permission was available.
CDJS_Contri_G,A_declarado_cdjs_largo,general_mundo,Regla distributiva general,escala,proporcionalidad_contribucion,limpio,7 (very fair),,"Meindl, Iyer, and Graham",2019,Study 2,Table S3,10.1080/01973533.2019.1663524,Project administration wording based on a CDJS item; response-format instruction adapted for LLM administration.,b925c2d75beb1e2a2ddea63adc63426c0ee1a9868c4b36f9fe9a881bd6aea93c,OMITTED — obtain the original article/supplement; no redistribution permission was available.
CDJS_Contri_W,A_declarado_cdjs_largo,general_mundo,Regla distributiva general,escala,proporcionalidad_contribucion,limpio,7 (very fair),,"Meindl, Iyer, and Graham",2019,Study 2,Table S3,10.1080/01973533.2019.1663524,Project administration wording based on a CDJS item; response-format instruction adapted for LLM administration.,9c086207179e2e6fd1a391f77f3e977a4110aa83ddb46147d05d25f3fb0ee53e,OMITTED — obtain the original article/supplement; no redistribution permission was available.
CDJS_Contri_S,A_declarado_cdjs_largo,general_mundo,Regla distributiva general,escala,proporcionalidad_contribucion,limpio,7 (very fair),,"Meindl, Iyer, and Graham",2019,Study 2,Table S3,10.1080/01973533.2019.1663524,Project administration wording based on a CDJS item; response-format instruction adapted for LLM administration.,f41ff951b85ceede8068a3140fe70ed626104efd855f9a4e33c2356cc98af595,OMITTED — obtain the original article/supplement; no redistribution permission was available.
DIL_01_equity_escala,B_dilema,trabajo,Bono de empresa,escala,proporcionalidad,limpio,7 (very desirable),,"Meindl, Iyer, and Graham",2019,Study 1b,Table S2,10.1080/01973533.2019.1663524,Cost-neutral source scenario/proposal; response-format instruction adapted for LLM administration.,6d328713eb08cdac40fbfcbc080beef4a5b8d5fcda95e75d42cd06488769abb1,OMITTED — obtain the original article/supplement; no redistribution permission was available.
DIL_01_equality_escala,B_dilema,trabajo,Bono de empresa,escala,igualdad,limpio,,7 (very desirable),"Meindl, Iyer, and Graham",2019,Study 1b,Table S2,10.1080/01973533.2019.1663524,Cost-neutral source scenario/proposal; response-format instruction adapted for LLM administration.,57790e329fa0c61c7e3e1f25bc9fb33048a6fc3a5fcb02380d5b9d0feabc168f,OMITTED — obtain the original article/supplement; no redistribution permission was available.
DIL_01_need_escala,B_dilema,trabajo,Bono de empresa,escala,necesidad,control_necesidad,,,"Meindl, Iyer, and Graham",2019,Study 1b,Table S2,10.1080/01973533.2019.1663524,Cost-neutral source scenario/proposal; response-format instruction adapted for LLM administration.,31878a7779901da7636a0aaf3ab5528676d578808525671e4c36d22e2c72bc8a,OMITTED — obtain the original article/supplement; no redistribution permission was available.
DIL_01_binario,B_dilema,trabajo,Bono de empresa,binario,igualdad_vs_proporcionalidad,limpio,A (equity proposal),B (equality proposal),"Meindl, Iyer, and Graham",2019,Study 1b,Table S2,10.1080/01973533.2019.1663524,Project forced-choice adaptation combining the source Equality and Equity/merit proposals.,9428bc47c8b131d6e28bf3b8e3481ab350a3a62773b98642ad20cc38d85e2b7a,OMITTED — obtain the original article/supplement; no redistribution permission was available.
DIL_02_equity_escala,B_dilema,educacion,Nota de proyecto universitario,escala,proporcionalidad,limpio,7 (very desirable),,"Meindl, Iyer, and Graham",2019,Study 1b,Table S2,10.1080/01973533.2019.1663524,Cost-neutral source scenario/proposal; response-format instruction adapted for LLM administration.,e7fb6df5602b0893e4197f679700d5e1d95931c6da53e7e88cbdf2c0e6fe39fb,OMITTED — obtain the original article/supplement; no redistribution permission was available.
DIL_02_equality_escala,B_dilema,educacion,Nota de proyecto universitario,escala,igualdad,limpio,,7 (very desirable),"Meindl, Iyer, and Graham",2019,Study 1b,Table S2,10.1080/01973533.2019.1663524,Cost-neutral source scenario/proposal; response-format instruction adapted for LLM administration.,c012209ab8dcfadf3783475c0b7b5bb665ae6a393558bcd1a2c128cc2b020313,OMITTED — obtain the original article/supplement; no redistribution permission was available.
DIL_02_need_escala,B_dilema,educacion,Nota de proyecto universitario,escala,necesidad,control_necesidad,,,"Meindl, Iyer, and Graham",2019,Study 1b,Table S2,10.1080/01973533.2019.1663524,Cost-neutral source scenario/proposal; response-format instruction adapted for LLM administration.,c5eaca30e9fc2a4c3b8fa5f33ee04dfa6aedb21484dab0190da9bed2ae423e96,OMITTED — obtain the original article/supplement; no redistribution permission was available.
DIL_02_binario,B_dilema,educacion,Nota de proyecto universitario,binario,igualdad_vs_proporcionalidad,limpio,B (equity proposal),A (equality proposal),"Meindl, Iyer, and Graham",2019,Study 1b,Table S2,10.1080/01973533.2019.1663524,Project forced-choice adaptation combining the source Equality and Equity/merit proposals.,71d80f210a142839c20640cc9e89e47cf5aa863244164d2d2e28806e957c2a05,OMITTED — obtain the original article/supplement; no redistribution permission was available.
DIL_03_equity_escala,B_dilema,comunidad,Fondos de fundación benéfica,escala,proporcionalidad,limpio,7 (very desirable),,"Meindl, Iyer, and Graham",2019,Study 1b,Table S2,10.1080/01973533.2019.1663524,Cost-neutral source scenario/proposal; response-format instruction adapted for LLM administration.,11d5ab9fac46acd463f0513af56737f6c478d04ac4dfdecea294bc7e3397e587,OMITTED — obtain the original article/supplement; no redistribution permission was available.
DIL_03_equality_escala,B_dilema,comunidad,Fondos de fundación benéfica,escala,igualdad,limpio,,7 (very desirable),"Meindl, Iyer, and Graham",2019,Study 1b,Table S2,10.1080/01973533.2019.1663524,Cost-neutral source scenario/proposal; response-format instruction adapted for LLM administration.,c8b16649f1fcb2deb4301ec1bf16086ab22086aa90312a6f276b75bb5f6b8e8a,OMITTED — obtain the original article/supplement; no redistribution permission was available.
DIL_03_need_escala,B_dilema,comunidad,Fondos de fundación benéfica,escala,necesidad,control_necesidad,,,"Meindl, Iyer, and Graham",2019,Study 1b,Table S2,10.1080/01973533.2019.1663524,Cost-neutral source scenario/proposal; response-format instruction adapted for LLM administration.,1a30b036be472e1807d3bf9b2445662940d83e89d487b8ab2634317140d67619,OMITTED — obtain the original article/supplement; no redistribution permission was available.
DIL_03_binario,B_dilema,comunidad,Fondos de fundación benéfica,binario,igualdad_vs_proporcionalidad,limpio,A (equity proposal),B (equality proposal),"Meindl, Iyer, and Graham",2019,Study 1b,Table S2,10.1080/01973533.2019.1663524,Project forced-choice adaptation combining the source Equality and Equity/merit proposals.,93fdcb497d094a08d3ffbe65e43ba2db37f44f10cd889b354c86cb6b8a4f0716,OMITTED — obtain the original article/supplement; no redistribution permission was available.
DIL_04_equity_escala,B_dilema,escuela_infancia,escuela_infancia,escala,proporcionalidad,discutible,7 (very desirable),,"Meindl, Iyer, and Graham",2019,Study 1b,Table S2,10.1080/01973533.2019.1663524,Cost-neutral source scenario/proposal; response-format instruction adapted for LLM administration.,4ae5b8290e517e302c5e257eb2450d41c1f5d770796235514530b5e86398f738,OMITTED — obtain the original article/supplement; no redistribution permission was available.
DIL_04_equality_escala,B_dilema,escuela_infancia,escuela_infancia,escala,igualdad,discutible,,7 (very desirable),"Meindl, Iyer, and Graham",2019,Study 1b,Table S2,10.1080/01973533.2019.1663524,Cost-neutral source scenario/proposal; response-format instruction adapted for LLM administration.,b93289ff3638da237d8d3a55a54e9c72b191829b88563618956c0f3042191377,OMITTED — obtain the original article/supplement; no redistribution permission was available.
DIL_04_need_escala,B_dilema,escuela_infancia,escuela_infancia,escala,necesidad,control_necesidad,,,"Meindl, Iyer, and Graham",2019,Study 1b,Table S2,10.1080/01973533.2019.1663524,Cost-neutral source scenario/proposal; response-format instruction adapted for LLM administration.,2377396407a0e38d9b23e2fbdda7e223506a5a62b05f26c59ea7840549c17bf8,OMITTED — obtain the original article/supplement; no redistribution permission was available.
DIL_04_binario,B_dilema,escuela_infancia,escuela_infancia,binario,igualdad_vs_proporcionalidad,discutible,B (equity proposal),A (equality proposal),"Meindl, Iyer, and Graham",2019,Study 1b,Table S2,10.1080/01973533.2019.1663524,Project forced-choice adaptation combining the source Equality and Equity/merit proposals.,199cfb6ecf3c9d9e4c8f601f302be40acae04a8925cbf75de491a65392e2e784,OMITTED — obtain the original article/supplement; no redistribution permission was available.
DIL_05_equity_escala,B_dilema,governance,governance,escala,proporcionalidad,oportunidad,7 (very desirable),,"Meindl, Iyer, and Graham",2019,Study 1b,Table S2,10.1080/01973533.2019.1663524,Cost-neutral source scenario/proposal; response-format instruction adapted for LLM administration.,badd080d4e1f0d7ee4a326fecbc9483e6d0c8cff826fa58cdc912acc1a829195,OMITTED — obtain the original article/supplement; no redistribution permission was available.
DIL_05_equality_escala,B_dilema,governance,governance,escala,igualdad,oportunidad,,7 (very desirable),"Meindl, Iyer, and Graham",2019,Study 1b,Table S2,10.1080/01973533.2019.1663524,Cost-neutral source scenario/proposal; response-format instruction adapted for LLM administration.,0b35fcc166a89997fd6c65f43af80f4fe9fac5d4892833ee0d0d8127500b4812,OMITTED — obtain the original article/supplement; no redistribution permission was available.
DIL_05_need_escala,B_dilema,governance,governance,escala,necesidad,control_necesidad,,,"Meindl, Iyer, and Graham",2019,Study 1b,Table S2,10.1080/01973533.2019.1663524,Cost-neutral source scenario/proposal; response-format instruction adapted for LLM administration.,b54a09cec04fd5886008e444110a55b4618d90fdd56dec8850aa7ba1ceda3925,OMITTED — obtain the original article/supplement; no redistribution permission was available.
DIL_05_binario,B_dilema,governance,governance,binario,igualdad_vs_proporcionalidad,oportunidad,A (equity proposal),B (equality proposal),"Meindl, Iyer, and Graham",2019,Study 1b,Table S2,10.1080/01973533.2019.1663524,Project forced-choice adaptation combining the source Equality and Equity/merit proposals.,040500cb4c1800360160ead35843816fe96df3ff1a32c1ae6dff9b39a6cb45ec,OMITTED — obtain the original article/supplement; no redistribution permission was available.
DIL_06_equity_escala,B_dilema,arte,arte,escala,proporcionalidad,oportunidad,7 (very desirable),,"Meindl, Iyer, and Graham",2019,Study 1b,Table S2,10.1080/01973533.2019.1663524,Cost-neutral source scenario/proposal; response-format instruction adapted for LLM administration.,40c57ac61f13de0ee212f3e3fad6bfc42f06bdd594da18fba0015823e8c6d670,OMITTED — obtain the original article/supplement; no redistribution permission was available.
DIL_06_equality_escala,B_dilema,arte,arte,escala,igualdad,oportunidad,,7 (very desirable),"Meindl, Iyer, and Graham",2019,Study 1b,Table S2,10.1080/01973533.2019.1663524,Cost-neutral source scenario/proposal; response-format instruction adapted for LLM administration.,07bee517e425ef40339cdbce72534d25dcdfff82a865910391395648662d0fd1,OMITTED — obtain the original article/supplement; no redistribution permission was available.
DIL_06_need_escala,B_dilema,arte,arte,escala,necesidad,control_necesidad,,,"Meindl, Iyer, and Graham",2019,Study 1b,Table S2,10.1080/01973533.2019.1663524,Cost-neutral source scenario/proposal; response-format instruction adapted for LLM administration.,6b519ab4ea17f7971784b7d8849fc7e745f8b004d6dd29e11776dc89fb6b7173,OMITTED — obtain the original article/supplement; no redistribution permission was available.
DIL_06_binario,B_dilema,arte,arte,binario,igualdad_vs_proporcionalidad,oportunidad,B (equity proposal),A (equality proposal),"Meindl, Iyer, and Graham",2019,Study 1b,Table S2,10.1080/01973533.2019.1663524,Project forced-choice adaptation combining the source Equality and Equity/merit proposals.,8462fd06f713746494d5433967af9f22032a64ac90773d8d040c160ea6da3518,OMITTED — obtain the original article/supplement; no redistribution permission was available.
DIL_07_equity_escala,B_dilema,deporte,Sede de evento deportivo,escala,proporcionalidad,oportunidad,7 (very desirable),,"Meindl, Iyer, and Graham",2019,Study 1b,Table S2,10.1080/01973533.2019.1663524,Cost-neutral source scenario/proposal; response-format instruction adapted for LLM administration.,dbb0942d61ec4fa3ed5d53087726653b3a695521c6c3ef0441c3a7b2f8b8bdef,OMITTED — obtain the original article/supplement; no redistribution permission was available.
DIL_07_equality_escala,B_dilema,deporte,Sede de evento deportivo,escala,igualdad,oportunidad,,7 (very desirable),"Meindl, Iyer, and Graham",2019,Study 1b,Table S2,10.1080/01973533.2019.1663524,Cost-neutral source scenario/proposal; response-format instruction adapted for LLM administration.,11acd693d6d58c05e97a110260b1a5e770734e9d271382ff8458d9fec4ff05cf,OMITTED — obtain the original article/supplement; no redistribution permission was available.
DIL_07_need_escala,B_dilema,deporte,Sede de evento deportivo,escala,necesidad,control_necesidad,,,"Meindl, Iyer, and Graham",2019,Study 1b,Table S2,10.1080/01973533.2019.1663524,Cost-neutral source scenario/proposal; response-format instruction adapted for LLM administration.,8b56f91077edb5aaef77105ba34e77c486938edd1fa3af4d8436cf8dee759acc,OMITTED — obtain the original article/supplement; no redistribution permission was available.
DIL_07_binario,B_dilema,deporte,Sede de evento deportivo,binario,igualdad_vs_proporcionalidad,oportunidad,A (equity proposal),B (equality proposal),"Meindl, Iyer, and Graham",2019,Study 1b,Table S2,10.1080/01973533.2019.1663524,Project forced-choice adaptation combining the source Equality and Equity/merit proposals.,52453e087d7d41e4cb6970231652e2156a0f2cd6bd42ad0a614f01c17437e8a3,OMITTED — obtain the original article/supplement; no redistribution permission was available.
REGLA_menu,C_regla_conductual,trabajo_pago,Elección de regla de pago,menu,eleccion_de_regla,conductual,1 (quality) & 3 (amount) = proporcional,2 (equal pay) = igualdad,"Meindl, Iyer, and Graham",2019,Study 4,Table S5,10.1080/01973533.2019.1663524,Source four-rule choice set; response-format instruction adapted for LLM administration.,9f91fd3bb48c23aba87a976e49c6ce6a2ffc23d90601c7d9f0b3be1bc1977225,OMITTED — obtain the original article/supplement; no redistribution permission was available.
