path,bytes,sha256
data/raw/mfq/english/opus_generations.csv,1489183,02dd329a8a419509a85891aa98e9a7b56c0496b3bc9b8b69abbfa776acb21448
data/raw/mfq/mandarin/deepseek.csv,73799,4789f774e48766dede3fbf14d8f2ddef0aa2316d8ba03246e76a98d2fea1f9f7
data/raw/mfq/mandarin/fable.csv,97304,293b3fac3d5cffcec5e8b49797ebf40e44a16cec28eb13dbd00ad8c9d0aa44c7
data/raw/mfq/mandarin/glm.csv,70357,b6d9143d0a9a68eb390719437bd1bb6b88d1c4118f3b63a3c9e9113fb713839e
data/raw/mfq/mandarin/gpt.csv,71658,0a72b22d549ee017f32bfc63c1cd5a5626a85b950188e8ba42fdec4c4bc0bbaf
data/raw/mfq/mandarin/opus.csv,83957,33b24aa9198b2aec9d28aa44c32fb58534a0897d0d5bef63b141566012485395
data/raw/ola2/deepseek_reasoner.csv,170148,65c3d3ca66ce73a552c5ad9d8b372453854f71d8fd6efc357e6f052470363074
data/raw/ola2/deepseek_reasoner_3option.csv,7075,bc9cc0e3b89e6cab2ee2abb067253359b5b04a99ef8741616172de38ab45d51a
data/raw/ola2/fable.csv,218437,ecc443ad1bd74b7f09db1718018921abaf7a15654499294607c7611c14c3b564
data/raw/ola2/fable_3option.csv,8034,9cb4db7e7c8d94d7e850d9425b51f4769abd0541f0a85ba10458d225e2ecd810
data/raw/ola2/glm.csv,192688,179013cc054ad1460ac349d1a5eac16195503ea4e18b31716eefb6be477ade43
data/raw/ola2/glm_3option.csv,7243,fc3975bc6dc7568e40d2ad1ab97f7abcbf80d30ee569c18a04b0d5eae4361f6c
data/raw/ola2/gpt.csv,337287,9a059b18085324b13c9e22d3f2ac4ebf61383071e71e5a6bf69dc4ffab84c962
data/raw/ola2/gpt_3option.csv,12095,165773cfbc748aaa7267e20c396e7f65fc41c3cc5b0a7234282f15d71513aeea
data/raw/ola2/opus.csv,834683,7ae306f3edeff7833be9b628f5cb65d7b292d10dbec2d6f87e631f53b0b10074
data/raw/ola2/opus_3option.csv,34068,cc9519240f548e2c112d7271d75c29a3e3ea5b1ec05cca526a649fb6d60a652b
data/reference/human_dse_reference_registry.csv,6866,3b0ae8b3bbc79ab11edb9fccb4460f0902bd662ae89a74a4900f549e0b3679d3
data/reference/mfq2_human_reference_frame.csv,1255,bdd99ac73bd1e3d814d7737c22fa07391a958539e59b9048993844ec6f0e0526
data/results/active/dse_coefficients.csv,8231,371f232a942b2fd6618382957bc38fe4dc39f9f17ca85f3339dee1dd6051bbd7
data/results/active/dse_equal_split.csv,860,dd1bd6085a2a047eb743f5d0de11291afbf42435915498aba1d001afe1b9354f
data/results/active/dse_gini.csv,491,9b0e4a3e336951e858a40dc6867037421cd647d0ed1b913c2877773ab7d20b8a
data/results/active/dse_integrity.csv,580,3907041880fca44c734fee89ebacfa5af4d4a008f108ae1fbccda25d3fa415f5
data/results/active/dse_reported_reference_position.csv,2485,adb3414a3eae3a4c93b9b1b38bc0089d5c3cbaf66b94c198f5b72b76e9620a46
data/results/evidence_to_date/measurement_repetition_diagnostics.csv,2793,11329bb1ac5cbe4ea44b6f8cf6c061622afce9bb1e05c318f992770e3af01f57
data/results/evidence_to_date/mfq_integrity_by_configuration.csv,806,4328077cf69bfb90b8792d96f60f25a58942ff33bf5bb81c9b0c1344ba88083a
data/results/evidence_to_date/mfq_language_comparison_matched.csv,1551,9a378c02e3e8362f03cf44f6759eb72f4071949a5dd8e6f9feddb9b354efae6c
data/results/evidence_to_date/mfq_profiles_by_configuration.csv,20950,6dd12da94a2e5be1bc9e9d8210a850c51f5ae524aea69cd07c289d0b26384484
data/results/evidence_to_date/mfq_prompt_variant_sensitivity.csv,1053,1349e540f5a049411c1cd9acdadc3be6cec0836a4b28fc76390fb4ee89a0d712
data/results/evidence_to_date/mfq_reported_national_mean_position.csv,9901,5387846df2f02efce94c23ba76002ecb2fa4482dd076f61462bdcdc67fa06f3b
data/results/evidence_to_date/mfq_top3_national_mean_candidates_by_variant.csv,11749,9064d65606e09f711a118d23bdc28169fe72ff4367bd9265b656126fd5ead0c2
data/results/evidence_to_date/ola2_by_dilemma_and_configuration.csv,3749,7241f91f21860ebb4fdc79696b13ce582277c62c6457fcf71d69732dfda23f95
data/results/evidence_to_date/ola2_estimates_by_configuration.csv,1519,8b1bdcd839c4b69594a0bfa4258e32b388df6166fec77677f1ade248d2d07fa3
data/results/evidence_to_date/ola2_integrity_by_configuration.csv,724,3e1a3e70769bb25b78a8f8d7b850e613471c92919c0b6d0b9a55c4234894d370
data/results/evidence_to_date/ola2_three_option_counts_by_configuration.csv,1526,7aad842e3e6ef0ea87119f18b529ca874bf9ea137a582d28476d27ad6789ed33
data/results/research_record/opus_version_comparison_historical_inconclusive.csv,859,aac504baea765358631048f280d738db9096a477ca83ab5b0717a6eee807be4d
docs/AUDIT_RESOLUTION_2026-07-28.md,1581,19092be78bbc80fb84ac5c07bb7c5a6b80f0e5487000caede7fb25055c7cc78d
docs/CASE_STUDY_01_DSE.md,1885,b8e594d313026f02ca4c4ff67872a536cfe5834bd69b48872f2830bff874d02e
docs/COLLECTION_CODE_PROVENANCE.md,1233,ac2451994c90b5e5e50e498cf6ac8b8de388e4a355235db7472b9c0b8ad97d30
docs/CURRENT_SCOPE.md,2054,c17b610be305e7e606c3db5045c825d6d1311e34b9e43d08ce7619a6fafc3c4d
docs/DATA_DICTIONARY.md,1551,0a4a23b600460a96d3ce59e036372f964750adb32bd016735951ff58a6eb40a0
docs/EVIDENCE_TO_DATE.md,2694,3645b757ee01987641a0e6e8d9de4646220bdd70f1df52a50cc4c34b2a37a4de
docs/HUMAN_COVERAGE.md,1317,7e5708545c65e11a17dcef775cf4de846c447cbd948aa45e35528d30dbe3acf7
docs/HUMAN_REFERENCES.md,2125,1afe26f49d5187c3ed1c5c311bbb9516aa96aff2b997a15780a0bf29d3368bbb
docs/INSTRUMENTS.md,1602,c9bf472fbbf8a772dabd6f551a75e1cd4a046d8aca8f4cfeea1f753ce264d5ba
docs/LIMITATIONS.md,1478,f628c81d8b1a712ca6c82458bb1fe2e9f2dc4803576f850ada4efe1a5b96b193
docs/MAIN_FINDINGS.md,1460,a37e2a86d0f20479c21c79d91e992a1306bc06393999676b058204c2c745813d
docs/METHODS.md,1300,732cb624d12c9bb64268eec12a0d2f3566645e516d499ae94fa576719ae63a0e
docs/METRICS.md,2536,93980cae2a77e9b17c47a9f953469da39491c75971b9edb283f693894b5e2f78
docs/MISSION.md,2137,4ffc9081672ba07126ec1a1cebe96a7b8c6db6310fcf793f74f1caea5812ae10
docs/NEXT_EXPERIMENT_FAW_ATTITUDES.md,6875,b426aa2c1188ef5e4a06dfadcd0f4a3b285028d2bd7274ab2645a72c8f8a1590
docs/OPEN_ITEMS.md,2191,92d9523474b9d1ac7b453187d2ca11bc68fa3071f77876301da8b8f7c82761b8
docs/README.md,284,33f21b078d94306cf61dca0e78141e36dd4d34d68e37b472b7dec3b1551d3763
docs/RELATED_WORK.md,1158,a11c95e6901cada525c03d15b3adf7b5dc05d48ac1c68bf9c0208f9eae8a0f66
docs/RELEASE_CHECKS.md,1562,bc7ca82e67688d677274b2ed144a60c64877e438a78a5da5bb50d2e74e0fce30
docs/RESEARCH_PROGRAMME.md,1840,76ae53780a50de1077b88c5b62932a6a709dd346f23f088c0c7522016e0eabb3
docs/RESEARCH_RECORD.md,968,67080819a3a0b4351bd863795cd67a4f266137e0f41261c5e8329809a300fc21
docs/SOURCE_DISCREPANCY_GILGEN_2022.md,2006,1ec2d4a379e9408fec231e902c6bfa8d02e0c3429267775f8328aaa26ba92cf4
docs/THIRD_PARTY_MATERIALS.md,1595,df3fbe92b531bb5147ff10184363a0d228c046835236f4245952a68dcc0b543e
docs/WEB_CONTENT_MAP.md,1756,e6540c053fdc47da2cc198cbb47097830beb3153ceecb0dcc2133bc868caa8fa
docs/WITHDRAWN.md,3902,925be13283af6f1dae884652e3774686916d37a0faffc35568119b6d383a5917
docs/index.html,82384,9d82515812c16a6e55ca59605e19e078c513b1f5728ceabc4c70214683da0aa3
docs/references.bib,1920,df1e21080d0ce812d57e1cd5ccb564211075744bcc0e20593c4336b4b7bc3c19
evidence_to_date/README.md,180,576b7cc4d3639cc833a35297c011512eebd087a85cd8fa7c43bc1f21b0b49fa7
provenance/original_notebooks/dse/DSE_claude_en.ipynb,30342,11f74b8e4e51ae7eb519dff0d87ed9ab196c646d1d022bcd9f5307b350be7a88
provenance/original_notebooks/dse/DSE_deepseek_EN.ipynb,89287,0fee77cce0494748566f2c3924d746b5606abec76b5cea8d942bb2aeaa878403
provenance/original_notebooks/dse/DSE_fable_en.ipynb,22034,18e0346e918b7bf8cc3bc061805a0d869d00c2834af5279d6e147df4b71d7597
provenance/original_notebooks/dse/DSE_glm_en.ipynb,25130,a6d884e675550e43dc09dc8962a86c9bc2492816296179eac8305ab95ca00cf5
provenance/original_notebooks/dse/DSE_gpt_en.ipynb,25377,5f2f9ea3e72b2e5388445eda4c9b21d847958ff13c3f596d13dff7918d7467f5
provenance/original_notebooks/ola2/Fable_ola2.ipynb,52297,a5745a148365300208c7e5e86a90288e07c654e99ec47def3504474c927c5ce0
provenance/original_notebooks/ola2/GLM_ola2.ipynb,26775,b20be262e9c152266f5adbd70ad33c01126a976886ce162d8fb21a2e739c8842
provenance/original_notebooks/ola2/GPT_ola2.ipynb,19888,a302a49efcfb56a543beb0559481aa4ed2abc35825699a3168e8fb9701d1bc84
provenance/original_notebooks/ola2/Opus_ola2.ipynb,24034,4937889c7167db7bc228cada4d91d5e2ab76bf0a3c3fd41f56ffa1fcd6fd78dd
requirements.txt,59,b392722ee6d6b5c0997a2092877c7b998a43b1a2323c977cfb4c67148d38791d
research_record/AUDITORIA_TECNICA_ORIGINAL_2026-07-28.md,14211,0b3310ef3cafebe87fd0643de7ef478fe0f17dd52ff2e2ccb3864230216a9207
research_record/pilot_01/excluded_configurations/deepseek_chat/README.md,361,14bd47e81983057208e610a08264d6aa30cb2015da71594644a875bb8242559c
research_record/pilot_01/excluded_configurations/deepseek_chat/provenance/DeepSeek_ola2_mixed_modes.ipynb,25840,56a47c4301dc1325e710812d903bf5caedbd392766b3dd8fdacee35c4307bfe0
research_record/pilot_01/excluded_configurations/deepseek_chat/raw_originals/mfq_english/deepseek_mixed_original.csv,607638,365feaebb100a9f8e3980e2687dd276e7455f8e6ad20edde0c429c537ae67e71
research_record/pilot_01/excluded_configurations/deepseek_chat/raw_originals/ola2/deepseek_3option_mixed_original.csv,14293,b37974d9d8cc254c63f5fd710f330e48289a6a7bee587c23acfa34ad139ee52b
research_record/pilot_01/excluded_configurations/deepseek_chat/raw_originals/ola2/deepseek_mixed_original.csv,348570,f7135fd3be086035455601268c7e125d5305097791f0d2dcade712c746f205ca
research_record/pilot_01/mvo_core_original_2026-07-28.zip,1048703,b7bda11e27b2f14d00980f05d0d886c940dc3a92b3660722b939098a3a62db73
scripts/analysis/analyze_dse.py,12349,d98d3bc136f7b8049253c245185c513002070abcb2bbafb793e6c85550fce8a7
scripts/analysis/analyze_mfq.py,11596,a10e094b2255e9d064182e835332ee8685807047293ba6cd6bed68a77bd6e611
scripts/analysis/analyze_ola2.py,11136,174f69a70aa5b9cfc821d06560726f28fa9c7fec0abccd2e71c45d1adcf8b835
scripts/analysis/build_manifest.py,913,4bd500b4b18ba4dad9771fcc473c104e27d61d5ce1c3f71ff42d856c3332f21a
scripts/analysis/common.py,4777,3ab973cd81f0e5576c8181d4d630b7284d7664711696cc49ebe2d5a7c5ab62af
scripts/analysis/reliability.py,8243,6056a59187c1c8dfa62068c0215469d2b37af6433d77dec0fa0dfa5b7886eafd
scripts/analysis/run_all.py,848,e9ee74d4afb3152cc44f9d4bb748a0aee5a07402ff90128c826946d8ab3e7558
scripts/collection/README.md,1237,dc89d18f5fe2217bb33b207fda3dd468e06098694fe74398a3d4e1091c02f636
scripts/collection/validate_private_meindl_file.py,1131,acb9c3d9e42a782465622a13fbfe26e5b6f000b3b354387d913677da82625635
tests/test_invariants.py,9884,c8208286acbeee7a7ac4d3ed90a90ae5ebb298fbbd7a59291fb755d3595cca06
web_source/README.md,626,0b23fa219531f250479586a6c17c31efa0a7871a2924576eb34406f3c0566260
